Year,Port,Yield,State,Region,Port_ID,Temp,MSL
1981,"Brownsville-Port Isabel, TX",28.0,TX,0,0,21.08372192382813,-0.084
1982,"Brownsville-Port Isabel, TX",19.0,TX,0,0,21.83819274902344,-0.048
1983,"Brownsville-Port Isabel, TX",21.0,TX,0,0,22.162635803222656,0.042
1984,"Brownsville-Port Isabel, TX",23.0,TX,0,0,21.856948852539066,0.015
1985,"Brownsville-Port Isabel, TX",22.9,TX,0,0,21.43865356445313,
1986,"Brownsville-Port Isabel, TX",25.5,TX,0,0,21.851205444335946,-0.023
1987,"Brownsville-Port Isabel, TX",13.4,TX,0,0,22.14641876220703,-0.046
1988,"Brownsville-Port Isabel, TX",13.8,TX,0,0,20.97545928955078,-0.027000000000000003
1989,"Brownsville-Port Isabel, TX",22.7,TX,0,0,22.771275329589844,0.003
1990,"Brownsville-Port Isabel, TX",25.2,TX,0,0,21.371505737304688,-0.129
1991,"Brownsville-Port Isabel, TX",29.6,TX,0,0,21.739996337890624,0.043
1992,"Brownsville-Port Isabel, TX",22.9,TX,0,0,21.359967041015626,0.057
1993,"Brownsville-Port Isabel, TX",18.9,TX,0,0,21.91691436767578,0.087
1994,"Brownsville-Port Isabel, TX",21.0,TX,0,0,20.840213012695312,-0.019
1995,"Brownsville-Port Isabel, TX",16.0,TX,0,0,21.557093811035166,-0.031
1996,"Brownsville-Port Isabel, TX",22.0,TX,0,0,21.13331298828125,-0.018000000000000002
1997,"Brownsville-Port Isabel, TX",13.8,TX,0,0,21.717680358886717,0.101
1998,"Brownsville-Port Isabel, TX",24.7,TX,0,0,21.217025756835934,-0.015
1999,"Brownsville-Port Isabel, TX",23.3,TX,0,0,21.78662109375,0.053
2000,"Brownsville-Port Isabel, TX",29.2,TX,0,0,22.222737121582032,0.017
2001,"Brownsville-Port Isabel, TX",22.4,TX,0,0,21.48817443847656,-0.053
2002,"Brownsville-Port Isabel, TX",19.9,TX,0,0,21.75797119140625,0.005
2003,"Brownsville-Port Isabel, TX",17.9,TX,0,0,20.573486328125,-0.013
2004,"Brownsville-Port Isabel, TX",18.7,TX,0,0,21.330018615722658,0.128
2005,"Brownsville-Port Isabel, TX",20.1,TX,0,0,21.996621704101567,0.15
2006,"Brownsville-Port Isabel, TX",30.5,TX,0,0,21.529981994628905,-0.063
2007,"Brownsville-Port Isabel, TX",23.2,TX,0,0,21.975361633300786,0.093
2008,"Brownsville-Port Isabel, TX",20.4,TX,0,0,21.8832763671875,0.188
2009,"Brownsville-Port Isabel, TX",27.0,TX,0,0,21.62444610595703,0.029
2010,"Brownsville-Port Isabel, TX",22.7,TX,0,0,20.660635375976558,0.08199999999999999
2012,"Brownsville-Port Isabel, TX",23.0,TX,0,0,21.739210510253905,-0.001
2013,"Brownsville-Port Isabel, TX",20.7,TX,0,0,22.385794067382808,0.055
2014,"Brownsville-Port Isabel, TX",12.1,TX,0,0,21.24218292236328,0.032
2015,"Brownsville-Port Isabel, TX",24.7,TX,0,0,22.272434997558594,0.08199999999999999
2016,"Brownsville-Port Isabel, TX",18.0,TX,0,0,22.47634735107421,0.213
1981,"Cape May-Wildwood, NJ",42.0,NJ,2,1,9.201944986979166,-0.13
1982,"Cape May-Wildwood, NJ",45.2,NJ,2,1,9.14357164171007,-0.14
1983,"Cape May-Wildwood, NJ",43.1,NJ,2,1,11.655029296875,0.031
1984,"Cape May-Wildwood, NJ",52.9,NJ,2,1,10.018180847167967,0.034
1985,"Cape May-Wildwood, NJ",48.8,NJ,2,1,10.662642584906685,-0.033
1986,"Cape May-Wildwood, NJ",56.7,NJ,2,1,10.715660095214844,-0.112
1987,"Cape May-Wildwood, NJ",56.8,NJ,2,1,10.380788167317707,0.052000000000000005
1988,"Cape May-Wildwood, NJ",48.0,NJ,2,1,9.141147189670141,-0.069
1989,"Cape May-Wildwood, NJ",54.1,NJ,2,1,9.762672424316406,-0.027000000000000003
1990,"Cape May-Wildwood, NJ",69.4,NJ,2,1,9.243935479058159,-0.118
1991,"Cape May-Wildwood, NJ",93.5,NJ,2,1,10.590282864040796,0.013
1992,"Cape May-Wildwood, NJ",94.5,NJ,2,1,9.684686448838976,0.031
1993,"Cape May-Wildwood, NJ",95.5,NJ,2,1,9.943673027886284,0.04
1994,"Cape May-Wildwood, NJ",85.4,NJ,2,1,9.5807130601671,-0.08199999999999999
1995,"Cape May-Wildwood, NJ",75.2,NJ,2,1,10.937942504882812,-0.001
1996,"Cape May-Wildwood, NJ",82.6,NJ,2,1,8.915150112575953,0.134
1997,"Cape May-Wildwood, NJ",71.0,NJ,2,1,9.477572970920141,0.058
1998,"Cape May-Wildwood, NJ",93.9,NJ,2,1,9.9782469007704,0.16699999999999998
1999,"Cape May-Wildwood, NJ",64.0,NJ,2,1,10.184391445583769,0.012
2000,"Cape May-Wildwood, NJ",58.9,NJ,2,1,11.536813524034288,-0.032
2001,"Cape May-Wildwood, NJ",66.4,NJ,2,1,9.107948303222656,0.058
2002,"Cape May-Wildwood, NJ",60.1,NJ,2,1,11.179234822591148,-0.032
2003,"Cape May-Wildwood, NJ",74.1,NJ,2,1,9.370829264322916,0.014
2004,"Cape May-Wildwood, NJ",98.1,NJ,2,1,9.481597052680122,-0.018000000000000002
2005,"Cape May-Wildwood, NJ",74.6,NJ,2,1,10.225099351671007,0.166
2006,"Cape May-Wildwood, NJ",66.3,NJ,2,1,10.744933234320747,0.105
2007,"Cape May-Wildwood, NJ",68.4,NJ,2,1,11.851536220974396,0.038
2008,"Cape May-Wildwood, NJ",82.9,NJ,2,1,9.835394965277779,0.068
2009,"Cape May-Wildwood, NJ",63.9,NJ,2,1,9.13500467936198,0.042
2010,"Cape May-Wildwood, NJ",43.1,NJ,2,1,9.93700154622396,0.16899999999999998
2011,"Cape May-Wildwood, NJ",39.5,NJ,2,1,9.086321512858072,0.133
2012,"Cape May-Wildwood, NJ",27.8,NJ,2,1,11.30772908528646,0.065
2013,"Cape May-Wildwood, NJ",20.4,NJ,2,1,11.031234741210938,0.061
2014,"Cape May-Wildwood, NJ",49.9,NJ,2,1,10.310914781358507,0.038
2015,"Cape May-Wildwood, NJ",77.2,NJ,2,1,10.702760484483507,0.034
2016,"Cape May-Wildwood, NJ",46.6,NJ,2,1,12.452767266167536,0.179
2017,"Cape May-Wildwood, NJ",101.6,NJ,2,1,12.442252265082464,0.141
1981,"Coos Bay-Charleston, OR",36.0,OR,5,2,11.027907235281804,0.05
1982,"Coos Bay-Charleston, OR",37.0,OR,5,2,9.672733851841516,-0.071
1983,"Coos Bay-Charleston, OR",26.2,OR,5,2,10.465826851981026,0.206
1984,"Coos Bay-Charleston, OR",20.1,OR,5,2,10.308550153459821,-0.118
1985,"Coos Bay-Charleston, OR",25.6,OR,5,2,9.92005375453404,-0.096
1986,"Coos Bay-Charleston, OR",24.3,OR,5,2,9.740887233189174,0.059
1987,"Coos Bay-Charleston, OR",29.6,OR,5,2,10.497266496930804,-0.02
1988,"Coos Bay-Charleston, OR",33.0,OR,5,2,10.015007019042967,-0.038
1989,"Coos Bay-Charleston, OR",34.9,OR,5,2,9.395544869559153,-0.197
1990,"Coos Bay-Charleston, OR",31.8,OR,5,2,10.338781084333148,-0.07200000000000001
1991,"Coos Bay-Charleston, OR",30.0,OR,5,2,9.069812774658203,-0.136
1992,"Coos Bay-Charleston, OR",38.0,OR,5,2,10.283482142857142,0.021
1993,"Coos Bay-Charleston, OR",29.0,OR,5,2,9.667272295270648,0.09
1994,"Coos Bay-Charleston, OR",24.0,OR,5,2,10.956206185477116,-0.029
1995,"Coos Bay-Charleston, OR",21.0,OR,5,2,10.03462655203683,0.26
1996,"Coos Bay-Charleston, OR",24.0,OR,5,2,10.997376578194757,0.027000000000000003
1997,"Coos Bay-Charleston, OR",21.5,OR,5,2,10.351793561662946,0.057
1998,"Coos Bay-Charleston, OR",14.6,OR,5,2,11.367166791643415,0.285
1999,"Coos Bay-Charleston, OR",26.0,OR,5,2,10.099342346191406,-0.066
2000,"Coos Bay-Charleston, OR",19.2,OR,5,2,10.000466482979911,-0.027000000000000003
2001,"Coos Bay-Charleston, OR",26.8,OR,5,2,10.360571725027901,-0.054000000000000006
2002,"Coos Bay-Charleston, OR",25.8,OR,5,2,9.573545183454241,-0.034
2003,"Coos Bay-Charleston, OR",24.7,OR,5,2,10.809910365513392,0.085
2004,"Coos Bay-Charleston, OR",29.8,OR,5,2,10.067206246512276,0.079
2005,"Coos Bay-Charleston, OR",25.7,OR,5,2,10.255067007882255,0.065
2006,"Coos Bay-Charleston, OR",29.0,OR,5,2,10.679090227399554,0.108
2007,"Coos Bay-Charleston, OR",25.5,OR,5,2,9.690086364746094,-0.131
2008,"Coos Bay-Charleston, OR",27.0,OR,5,2,9.112027304513116,0.012
2009,"Coos Bay-Charleston, OR",30.1,OR,5,2,9.239246913364958,-0.166
2010,"Coos Bay-Charleston, OR",31.0,OR,5,2,10.355286734444755,0.221
2011,"Coos Bay-Charleston, OR",38.6,OR,5,2,9.682677132742745,-0.071
2012,"Coos Bay-Charleston, OR",32.4,OR,5,2,9.677825927734377,-0.058
2013,"Coos Bay-Charleston, OR",32.8,OR,5,2,9.708958217075892,-0.128
2014,"Coos Bay-Charleston, OR",29.4,OR,5,2,9.951266697474882,-0.107
2016,"Coos Bay-Charleston, OR",21.3,OR,5,2,10.935725620814733,0.197
2017,"Coos Bay-Charleston, OR",19.3,OR,5,2,10.118800571986608,0.114
1987,"Cordova, AK",69.6,AK,4,3,4.452038389263731,0.138
1988,"Cordova, AK",42.5,AK,4,3,4.410000425396544,0.025
1989,"Cordova, AK",55.3,AK,4,3,3.7254664103190094,-0.042
1990,"Cordova, AK",70.8,AK,4,3,4.005856600674716,-0.024
1991,"Cordova, AK",47.5,AK,4,3,4.367165305397728,-0.21
1992,"Cordova, AK",32.0,AK,4,3,4.16732002027107,0.229
1993,"Cordova, AK",18.1,AK,4,3,3.765480041503906,-0.091
1994,"Cordova, AK",60.8,AK,4,3,4.170067064689867,-0.021
1995,"Cordova, AK",42.5,AK,4,3,3.7165037212949814,0.036000000000000004
1996,"Cordova, AK",55.4,AK,4,3,4.375291304154829,-0.127
1997,"Cordova, AK",59.4,AK,4,3,4.039264100970644,-0.006999999999999999
1998,"Cordova, AK",45.4,AK,4,3,3.91708975127249,0.138
1999,"Cordova, AK",62.2,AK,4,3,4.162761803829309,-0.078
2001,"Cordova, AK",78.3,AK,4,3,4.599252874200994,0.17800000000000002
2002,"Cordova, AK",59.2,AK,4,3,3.5361395171194365,0.055
2003,"Cordova, AK",71.0,AK,4,3,4.737070257013494,0.16
2004,"Cordova, AK",40.5,AK,4,3,4.12540273955374,0.006999999999999999
2005,"Cordova, AK",111.2,AK,4,3,4.285989934747869,-0.08199999999999999
2006,"Cordova, AK",45.8,AK,4,3,3.970070578835227,0.154
2007,"Cordova, AK",108.8,AK,4,3,3.5290249911221587,-0.038
2008,"Cordova, AK",95.7,AK,4,3,3.381401524399266,-0.006999999999999999
2009,"Cordova, AK",45.5,AK,4,3,3.0848686911843037,-0.062
2011,"Cordova, AK",67.5,AK,4,3,3.8195000850793086,-0.091
2012,"Cordova, AK",83.8,AK,4,3,3.069121158484257,0.024
2014,"Cordova, AK",85.0,AK,4,3,4.293451482599432,-0.046
2016,"Cordova, AK",35.0,AK,4,3,4.699256203391335,0.213
2017,"Cordova, AK",99.2,AK,4,3,4.598867242986506,-0.105
1981,"Crescent City, CA",15.0,CAN,6,4,13.374516296386721,0.08900000000000001
1982,"Crescent City, CA",17.7,CAN,6,4,12.0766845703125,-0.08199999999999999
1983,"Crescent City, CA",14.5,CAN,6,4,12.916604614257812,0.223
1984,"Crescent City, CA",15.9,CAN,6,4,12.847065734863286,-0.051
1985,"Crescent City, CA",19.8,CAN,6,4,12.05430908203125,-0.06
1986,"Crescent City, CA",20.9,CAN,6,4,12.423199462890626,0.062
1987,"Crescent City, CA",23.1,CAN,6,4,12.692097473144536,-0.042
1988,"Crescent City, CA",36.0,CAN,6,4,11.858919525146485,-0.045
1990,"Crescent City, CA",31.1,CAN,6,4,12.677056884765625,-0.069
1991,"Crescent City, CA",30.2,CAN,6,4,11.603793334960935,-0.08199999999999999
1992,"Crescent City, CA",39.2,CAN,6,4,12.257774353027346,0.056
1993,"Crescent City, CA",24.3,CAN,6,4,12.257275390625,0.11
1994,"Crescent City, CA",28.4,CAN,6,4,13.05147705078125,0.002
1995,"Crescent City, CA",21.8,CAN,6,4,12.317410278320313,0.238
1996,"Crescent City, CA",26.4,CAN,6,4,13.269775390625,-0.012
1997,"Crescent City, CA",32.7,CAN,6,4,12.828857421875,0.045
1998,"Crescent City, CA",22.9,CAN,6,4,13.680596923828125,0.234
1999,"Crescent City, CA",14.3,CAN,6,4,12.024531555175779,-0.098
2000,"Crescent City, CA",15.6,CAN,6,4,12.2182861328125,-0.061
2001,"Crescent City, CA",11.3,CAN,6,4,12.302950286865235,-0.085
2002,"Crescent City, CA",6.4,CAN,6,4,11.815894317626952,-0.098
2003,"Crescent City, CA",12.3,CAN,6,4,12.932205200195312,0.043
2004,"Crescent City, CA",17.0,CAN,6,4,12.290076446533202,0.037000000000000005
2005,"Crescent City, CA",7.0,CAN,6,4,12.38479232788086,0.059
2006,"Crescent City, CA",17.8,CAN,6,4,12.813275146484376,0.018000000000000002
2007,"Crescent City, CA",8.5,CAN,6,4,11.790335083007813,-0.184
2008,"Crescent City, CA",13.6,CAN,6,4,11.373990631103515,-0.017
2009,"Crescent City, CA",16.0,CAN,6,4,11.790644073486328,-0.17600000000000002
2010,"Crescent City, CA",13.3,CAN,6,4,12.620067596435547,0.154
2011,"Crescent City, CA",7.5,CAN,6,4,11.926493835449214,-0.128
2012,"Crescent City, CA",12.8,CAN,6,4,12.199859619140625,-0.119
2013,"Crescent City, CA",18.2,CAN,6,4,12.016751098632813,-0.177
2014,"Crescent City, CA",9.3,CAN,6,4,12.434456634521485,-0.125
2016,"Crescent City, CA",9.5,CAN,6,4,13.074406433105473,0.102
2017,"Crescent City, CA",5.1,CAN,6,4,12.450309753417967,0.073
1982,"Fernandina Beach, FL",16.5,FL,1,5,19.876237135667072,-0.184
2016,"Fernandina Beach, FL",2.0,FL,1,5,21.90093289888822,0.18
2017,"Fernandina Beach, FL",2.3,FL,1,5,21.767770620492787,0.0
1982,"Fort Myers, FL",9.2,FL,1,6,19.876237135667072,-0.069
1983,"Fort Myers, FL",7.3,FL,1,6,21.139937180739178,0.09
1984,"Fort Myers, FL",8.2,FL,1,6,20.797811654897835,0.011
1985,"Fort Myers, FL",8.7,FL,1,6,20.630903977614178,0.05
1986,"Fort Myers, FL",10.4,FL,1,6,21.01910869891827,-0.008
1987,"Fort Myers, FL",8.3,FL,1,6,21.331113375150238,0.078
1988,"Fort Myers, FL",10.2,FL,1,6,19.93401630108173,-0.044
1989,"Fort Myers, FL",10.9,FL,1,6,20.620211087740387,0.001
1990,"Fort Myers, FL",8.7,FL,1,6,20.48328106219952,-0.096
1991,"Fort Myers, FL",9.9,FL,1,6,21.21723820612981,0.056
1994,"Fort Myers, FL",11.1,FL,1,6,19.871985802283653,-0.066
1995,"Fort Myers, FL",8.5,FL,1,6,20.730630727914665,0.013
1996,"Fort Myers, FL",11.0,FL,1,6,19.789402888371395,0.046
1997,"Fort Myers, FL",7.7,FL,1,6,20.17577185997596,-0.021
1998,"Fort Myers, FL",10.9,FL,1,6,20.32305438701923,0.052000000000000005
1999,"Fort Myers, FL",9.7,FL,1,6,21.281843919020428,0.048
2000,"Fort Myers, FL",7.9,FL,1,6,20.84074988731971,0.006999999999999999
2001,"Fort Myers, FL",8.7,FL,1,6,19.843827467698322,-0.105
2002,"Fort Myers, FL",9.2,FL,1,6,21.058805025540867,-0.012
2003,"Fort Myers, FL",8.2,FL,1,6,20.08387169471154,-0.014
2004,"Fort Myers, FL",9.4,FL,1,6,20.56615741436298,0.062
2005,"Fort Myers, FL",8.6,FL,1,6,20.523561917818512,0.054000000000000006
2006,"Fort Myers, FL",9.9,FL,1,6,20.448091947115387,0.015
2007,"Fort Myers, FL",6.2,FL,1,6,21.56781710111178,0.028
2008,"Fort Myers, FL",5.7,FL,1,6,20.832160362830532,-0.024
2009,"Fort Myers, FL",6.0,FL,1,6,20.052980863131012,-0.052000000000000005
2010,"Fort Myers, FL",7.2,FL,1,6,20.01573768028846,0.046
2011,"Fort Myers, FL",8.2,FL,1,6,19.075144841120792,-0.001
2012,"Fort Myers, FL",6.5,FL,1,6,20.519066443810093,0.026
2014,"Fort Myers, FL",6.6,FL,1,6,20.960127610426678,0.064
2015,"Fort Myers, FL",7.3,FL,1,6,21.26739971454327,0.121
2017,"Fort Myers, FL",10.0,FL,1,6,21.767770620492787,0.145
1981,"Galveston, TX",8.0,TX,0,7,21.08372192382813,-0.17
1982,"Galveston, TX",7.0,TX,0,7,21.83819274902344,-0.127
1983,"Galveston, TX",12.0,TX,0,7,22.162635803222656,0.029
1984,"Galveston, TX",11.9,TX,0,7,21.856948852539066,-0.035
1985,"Galveston, TX",12.8,TX,0,7,21.43865356445313,-0.09
1986,"Galveston, TX",13.6,TX,0,7,21.851205444335946,-0.051
1987,"Galveston, TX",4.4,TX,0,7,22.14641876220703,-0.075
1988,"Galveston, TX",7.7,TX,0,7,20.97545928955078,-0.057
1989,"Galveston, TX",8.7,TX,0,7,22.771275329589844,0.013
1990,"Galveston, TX",8.0,TX,0,7,21.371505737304688,-0.112
1991,"Galveston, TX",11.8,TX,0,7,21.739996337890624,0.105
1992,"Galveston, TX",12.7,TX,0,7,21.359967041015626,0.083
1993,"Galveston, TX",12.5,TX,0,7,21.91691436767578,0.12
1994,"Galveston, TX",12.4,TX,0,7,20.840213012695312,-0.033
1995,"Galveston, TX",17.0,TX,0,7,21.557093811035166,-0.098
1996,"Galveston, TX",21.0,TX,0,7,21.13331298828125,-0.113
1997,"Galveston, TX",12.5,TX,0,7,21.717680358886717,0.06
1998,"Galveston, TX",16.3,TX,0,7,21.217025756835934,-0.003
1999,"Galveston, TX",18.0,TX,0,7,21.78662109375,0.023
2000,"Galveston, TX",17.4,TX,0,7,22.222737121582032,-0.038
2001,"Galveston, TX",18.6,TX,0,7,21.48817443847656,-0.093
2002,"Galveston, TX",17.4,TX,0,7,21.75797119140625,-0.03
2003,"Galveston, TX",18.6,TX,0,7,20.573486328125,-0.07200000000000001
2004,"Galveston, TX",16.0,TX,0,7,21.330018615722658,0.071
2005,"Galveston, TX",15.1,TX,0,7,21.996621704101567,0.128
2006,"Galveston, TX",22.0,TX,0,7,21.529981994628905,-0.128
2007,"Galveston, TX",19.2,TX,0,7,21.975361633300786,0.069
2008,"Galveston, TX",13.1,TX,0,7,21.8832763671875,0.112
2009,"Galveston, TX",22.0,TX,0,7,21.62444610595703,-0.07
2010,"Galveston, TX",13.4,TX,0,7,20.660635375976558,0.071
2012,"Galveston, TX",26.6,TX,0,7,21.739210510253905,0.028
2013,"Galveston, TX",22.6,TX,0,7,22.385794067382808,0.081
2014,"Galveston, TX",14.0,TX,0,7,21.24218292236328,0.024
2015,"Galveston, TX",16.4,TX,0,7,22.272434997558594,0.07
2016,"Galveston, TX",15.0,TX,0,7,22.47634735107421,0.244
1981,"Grand Isle, LA",7.0,LA,0,8,21.08372192382813,-0.37
1982,"Grand Isle, LA",5.6,LA,0,8,21.83819274902344,-0.278
1983,"Grand Isle, LA",6.4,LA,0,8,22.162635803222656,-0.141
1984,"Grand Isle, LA",9.2,LA,0,8,21.856948852539066,-0.226
1985,"Grand Isle, LA",11.1,LA,0,8,21.43865356445313,-0.22
1986,"Grand Isle, LA",14.0,LA,0,8,21.851205444335946,-0.245
1987,"Grand Isle, LA",12.3,LA,0,8,22.14641876220703,-0.223
1988,"Grand Isle, LA",10.8,LA,0,8,20.97545928955078,-0.257
1989,"Grand Isle, LA",10.8,LA,0,8,22.771275329589844,-0.181
1990,"Grand Isle, LA",14.2,LA,0,8,21.371505737304688,-0.293
1991,"Grand Isle, LA",11.7,LA,0,8,21.739996337890624,-0.123
1992,"Grand Isle, LA",12.9,LA,0,8,21.359967041015626,-0.132
1993,"Grand Isle, LA",18.0,LA,0,8,21.91691436767578,-0.098
1994,"Grand Isle, LA",9.6,LA,0,8,20.840213012695312,-0.245
1995,"Grand Isle, LA",12.6,LA,0,8,21.557093811035166,-0.203
1996,"Grand Isle, LA",13.9,LA,0,8,21.13331298828125,-0.208
1997,"Grand Isle, LA",12.7,LA,0,8,21.717680358886717,-0.097
1998,"Grand Isle, LA",14.4,LA,0,8,21.217025756835934,-0.151
1999,"Grand Isle, LA",14.0,LA,0,8,21.78662109375,-0.112
2000,"Grand Isle, LA",18.2,LA,0,8,22.222737121582032,-0.201
2001,"Grand Isle, LA",12.4,LA,0,8,21.48817443847656,-0.273
2002,"Grand Isle, LA",15.1,LA,0,8,21.75797119140625,-0.17
2003,"Grand Isle, LA",18.3,LA,0,8,20.573486328125,-0.211
2004,"Grand Isle, LA",12.5,LA,0,8,21.330018615722658,-0.086
2013,"Grand Isle, LA",7.7,LA,0,8,22.385794067382808,-0.034
1981,"Hampton Roads Area, VA",29.0,VA,2,9,9.201944986979166,-0.156
1982,"Hampton Roads Area, VA",30.4,VA,2,9,9.14357164171007,-0.156
1983,"Hampton Roads Area, VA",31.0,VA,2,9,11.655029296875,0.061
1984,"Hampton Roads Area, VA",33.4,VA,2,9,10.018180847167967,0.055
1985,"Hampton Roads Area, VA",22.3,VA,2,9,10.662642584906685,-0.059
1986,"Hampton Roads Area, VA",23.1,VA,2,9,10.715660095214844,-0.141
1987,"Hampton Roads Area, VA",25.1,VA,2,9,10.380788167317707,0.073
1988,"Hampton Roads Area, VA",25.6,VA,2,9,9.141147189670141,-0.071
1989,"Hampton Roads Area, VA",24.5,VA,2,9,9.762672424316406,-0.065
1990,"Hampton Roads Area, VA",24.3,VA,2,9,9.243935479058159,-0.12
1991,"Hampton Roads Area, VA",26.8,VA,2,9,10.590282864040796,0.07
1992,"Hampton Roads Area, VA",20.8,VA,2,9,9.684686448838976,0.015
1993,"Hampton Roads Area, VA",22.1,VA,2,9,9.943673027886284,0.101
1994,"Hampton Roads Area, VA",21.0,VA,2,9,9.5807130601671,-0.092
1995,"Hampton Roads Area, VA",20.3,VA,2,9,10.937942504882812,-0.052000000000000005
1996,"Hampton Roads Area, VA",22.9,VA,2,9,8.915150112575953,0.129
1997,"Hampton Roads Area, VA",24.2,VA,2,9,9.477572970920141,0.054000000000000006
1998,"Hampton Roads Area, VA",24.8,VA,2,9,9.9782469007704,0.192
1999,"Hampton Roads Area, VA",21.9,VA,2,9,10.184391445583769,-0.004
2000,"Hampton Roads Area, VA",22.7,VA,2,9,11.536813524034288,-0.028
2001,"Hampton Roads Area, VA",28.0,VA,2,9,9.107948303222656,0.017
2002,"Hampton Roads Area, VA",29.9,VA,2,9,11.179234822591148,-0.095
2003,"Hampton Roads Area, VA",30.1,VA,2,9,9.370829264322916,0.006
2004,"Hampton Roads Area, VA",34.7,VA,2,9,9.481597052680122,0.008
2005,"Hampton Roads Area, VA",23.5,VA,2,9,10.225099351671007,0.185
2006,"Hampton Roads Area, VA",13.0,VA,2,9,10.744933234320747,0.069
2007,"Hampton Roads Area, VA",21.1,VA,2,9,11.851536220974396,0.037000000000000005
2008,"Hampton Roads Area, VA",19.3,VA,2,9,9.835394965277779,0.043
2009,"Hampton Roads Area, VA",18.0,VA,2,9,9.13500467936198,0.01
2010,"Hampton Roads Area, VA",16.1,VA,2,9,9.93700154622396,0.182
2011,"Hampton Roads Area, VA",18.3,VA,2,9,9.086321512858072,0.115
2012,"Hampton Roads Area, VA",13.5,VA,2,9,11.30772908528646,0.046
